Product_ID,Barcode,Product_Name,Price,Weight_kg,Category,Sub_Category,Aisle_No,Partition_No,Shelf_No,Position_Tag,Side,Stock_Quantity,Reorder_Level
PROD00001,890100001,Cinthol Body Wash 500g,284,0.5,Personal Care,Soap,1,101,101.1,P101,Left,51,5
PROD00002,890100002,CloseUp Mouthwash 500g,215,0.5,Personal Care,Oral,1,101,101.1,P101,Left,24,5
PROD00003,890100003,India Gate Basmati Rice 500g,272,0.5,Grains,Rice,1,101,101.1,P101,Left,91,5
PROD00004,890100004,Haldiram's Almonds 500g,301,0.5,Snacks,Nuts,1,101,101.1,P101,Left,46,5
PROD00005,890100005,Fortune Jasmine Rice 500g,332,0.5,Grains,Rice,1,101,101.2,P101,Left,74,5
PROD00006,890100006,Paseo Kitchen Towel 500g,173,0.5,Household,Paper,1,101,101.2,P101,Left,78,5
PROD00007,890100007,Aashirvaad Jasmine Rice 500g,303,0.5,Grains,Rice,1,101,101.2,P101,Left,38,5
PROD00008,890100008,Coca Cola Cola 500ml,355,0.5,Beverages,Soda,1,101,101.2,P101,Left,46,5
PROD00009,890100009,Oral-B Mouthwash 500g,392,0.5,Personal Care,Oral,1,101,101.3,P101,Left,25,5
PROD00010,890100010,English Oven Brown Bread 500g,281,0.5,Bakery,Bread,1,101,101.3,P101,Left,19,5
PROD00011,890100011,Amul Plain Curd 500ml,166,0.5,Dairy,Yogurt,1,101,101.3,P101,Left,15,5
PROD00012,890100012,B Natural Apple Juice 500ml,20,0.5,Beverages,Juice,1,101,101.3,P101,Left,93,5
PROD00013,890100013,Ponds Sunscreen 500ml,383,0.5,Personal Care,Skin,1,101,101.4,P101,Left,50,5
PROD00014,890100014,Clinic Plus Conditioner 500ml,408,0.5,Personal Care,Hair,1,101,101.4,P101,Left,38,5
PROD00015,890100015,Elite Fruit Cake 500g,144,0.5,Bakery,Cakes,1,101,101.4,P101,Left,19,5
PROD00016,890100016,Neutrogena Moisturizer 500ml,225,0.5,Personal Care,Skin,1,101,101.4,P101,Left,68,5
PROD00017,890100017,Milky Mist Mishti Doi 500ml,124,0.5,Dairy,Yogurt,1,101,101.5,P101,Left,99,5
PROD00018,890100018,Parekh Garbage Bags 500g,331,0.5,Household,Disposables,1,101,101.5,P101,Left,70,5
PROD00019,890100019,Sunrise Filter Coffee 500g,277,0.5,Beverages,Coffee,1,101,101.5,P101,Left,100,5
PROD00020,890100020,Too Yumm Potato Chips 500g,252,0.5,Snacks,Chips,1,101,101.5,P101,Left,50,5
PROD00021,890100021,Ponds Face Wash 500ml,133,0.5,Personal Care,Skin,1,101,101.6,P101,Left,47,5
PROD00022,890100022,Nutraj Mixed Nuts 500g,211,0.5,Snacks,Nuts,1,101,101.6,P101,Left,88,5
PROD00023,890100023,Tata Coffee Premix 500g,55,0.5,Beverages,Coffee,1,101,101.6,P101,Left,61,5
PROD00024,890100024,Elite Swiss Roll 500g,252,0.5,Bakery,Cakes,1,101,101.6,P101,Left,87,5
PROD00025,890100025,Britannia White Bread 500g,91,0.5,Bakery,Bread,1,101,101.7,P101,Left,66,5
PROD00026,890100026,Real Apple Juice 500ml,87,0.5,Beverages,Juice,1,101,101.7,P101,Left,52,5
PROD00027,890100027,Britannia Cupcake 500g,492,0.5,Bakery,Cakes,1,101,101.7,P101,Left,73,5
PROD00028,890100028,Pillsbury Maida 500g,434,0.5,Grains,Flour,1,101,101.7,P101,Left,30,5
PROD00029,890100029,Mother Dairy Greek Yogurt 500ml,446,0.5,Dairy,Yogurt,1,102,102.1,P102,Left,33,5
PROD00030,890100030,Lux Bathing Bar 500g,119,0.5,Personal Care,Soap,1,102,102.1,P102,Left,91,5
PROD00031,890100031,Dark Fantasy Cookies 500g,226,0.5,Snacks,Biscuits,1,102,102.1,P102,Left,15,5
PROD00032,890100032,Tata Sampann Pistachios 500g,276,0.5,Snacks,Nuts,1,102,102.1,P102,Left,87,5
PROD00033,890100033,Go Paneer 500g,413,0.5,Dairy,Cheese,1,102,102.2,P102,Left,61,5
PROD00034,890100034,Mother Dairy Almond Milk 500ml,122,0.5,Dairy,Milk,1,102,102.2,P102,Left,84,5
PROD00035,890100035,Britannia Brown Bread 500g,135,0.5,Bakery,Bread,1,102,102.2,P102,Left,91,5
PROD00036,890100036,Fortune Brown Rice 500g,446,0.5,Grains,Rice,1,102,102.2,P102,Left,72,5
PROD00037,890100037,Milky Mist Mishti Doi 500ml,116,0.5,Dairy,Yogurt,1,102,102.3,P102,Left,32,5
PROD00038,890100038,Epigamia Mishti Doi 500ml,205,0.5,Dairy,Yogurt,1,102,102.3,P102,Left,34,5
PROD00039,890100039,Monginis Cupcake 500g,260,0.5,Bakery,Cakes,1,102,102.3,P102,Left,47,5
PROD00040,890100040,Amul Paneer 500g,341,0.5,Dairy,Cheese,1,102,102.3,P102,Left,59,5
PROD00041,890100041,Dove Conditioner 500ml,456,0.5,Personal Care,Hair,1,102,102.4,P102,Left,43,5
PROD00042,890100042,Barilla Fusilli 500g,422,0.5,Grains,Pasta,1,102,102.4,P102,Left,70,5
PROD00043,890100043,Vim Dish Liquid 500ml,304,0.5,Household,Cleaning,1,102,102.4,P102,Left,55,5
PROD00044,890100044,Oreo Nice 500g,162,0.5,Snacks,Biscuits,1,102,102.4,P102,Left,31,5
PROD00045,890100045,Surf Excel Dish Liquid 500ml,113,0.5,Household,Cleaning,1,102,102.5,P102,Left,15,5
PROD00046,890100046,Govardhan Soy Milk 500ml,446,0.5,Dairy,Milk,1,102,102.5,P102,Left,89,5
