Product_ID,Barcode,Product_Name,Price,Weight_kg,Category,Sub_Category,Aisle_No,Partition_No,Shelf_No,Position_Tag,Side,Stock_Quantity,Reorder_Level
PROD00501,890100501,Lizol Floor Cleaner 500ml,309,0.5,Household,Cleaning,11,111,111.1,P111,Left,82,5
PROD00502,890100502,Modern Brown Bread 500g,171,0.5,Bakery,Bread,11,111,111.1,P111,Left,74,5
PROD00503,890100503,Parekh Paper Cups 500g,55,0.5,Household,Disposables,11,111,111.1,P111,Left,12,5
PROD00504,890100504,Amul Almond Milk 500ml,408,0.5,Dairy,Milk,11,111,111.1,P111,Left,45,5
PROD00505,890100505,Nestle Fruit Yogurt 500ml,368,0.5,Dairy,Yogurt,11,111,111.1,P111,Left,41,5
PROD00506,890100506,Go Cheese Block 500g,283,0.5,Dairy,Cheese,11,111,111.1,P111,Left,67,5
PROD00507,890100507,Parekh Aluminium Foil 500g,291,0.5,Household,Disposables,11,111,111.1,P111,Left,51,5
PROD00508,890100508,Pepsodent Toothpaste 500g,135,0.5,Personal Care,Oral,11,111,111.1,P111,Left,24,5
PROD00509,890100509,Origami Tissues 500g,232,0.5,Household,Paper,11,111,111.1,P111,Left,74,5
PROD00510,890100510,Tata Coffee Premix 500g,31,0.5,Beverages,Coffee,11,111,111.1,P111,Left,66,5
PROD00511,890100511,Govardhan Almond Milk 500ml,330,0.5,Dairy,Milk,11,111,111.1,P111,Left,12,5
PROD00512,890100512,Tong Garden Cashews 500g,98,0.5,Snacks,Nuts,11,111,111.1,P111,Left,44,5
PROD00513,890100513,Sunfeast Cream Cracker 500g,310,0.5,Snacks,Biscuits,11,111,111.1,P111,Left,19,5
PROD00514,890100514,Harvest Gold Multigrain 500g,492,0.5,Bakery,Bread,11,111,111.1,P111,Left,53,5
PROD00515,890100515,Mother Dairy Plain Curd 500ml,248,0.5,Dairy,Yogurt,11,111,111.1,P111,Left,34,5
PROD00516,890100516,Mother Dairy Fruit Yogurt 500ml,386,0.5,Dairy,Yogurt,11,111,111.1,P111,Left,47,5
PROD00517,890100517,Tata Tea Green Tea 500g,230,0.5,Beverages,Tea,11,111,111.1,P111,Left,29,5
PROD00518,890100518,Sunfeast Fusilli 500g,374,0.5,Grains,Pasta,11,111,111.1,P111,Left,41,5
PROD00519,890100519,Nescafe Premix 500g,490,0.5,Beverages,Coffee,11,111,111.1,P111,Left,55,5
PROD00520,890100520,Elite Bun 500g,298,0.5,Bakery,Cakes,11,111,111.1,P111,Left,74,5
PROD00521,890100521,Pril Detergent 500ml,390,0.5,Household,Cleaning,11,111,111.1,P111,Left,47,5
PROD00522,890100522,Nandini Toned Milk 500ml,389,0.5,Dairy,Milk,11,111,111.1,P111,Left,32,5
PROD00523,890100523,Modern Multigrain 500g,106,0.5,Bakery,Bread,11,111,111.1,P111,Left,48,5
PROD00524,890100524,Mother Dairy Paneer 500g,404,0.5,Dairy,Cheese,11,111,111.1,P111,Left,89,5
PROD00525,890100525,Origami Paper Napkins 500g,333,0.5,Household,Paper,11,111,111.1,P111,Left,81,5
PROD00526,890100526,Lays Cheese Balls 500g,113,0.5,Snacks,Chips,11,111,111.1,P111,Left,41,5
PROD00527,890100527,Pillsbury Maida 500g,188,0.5,Grains,Flour,11,111,111.1,P111,Left,50,5
PROD00528,890100528,Pillsbury Rice Flour 500g,237,0.5,Grains,Flour,11,111,111.1,P111,Left,37,5
PROD00529,890100529,Selpak Tissues 500g,255,0.5,Household,Paper,11,111,111.1,P111,Left,98,5
PROD00530,890100530,Origami Paper Plates 500g,488,0.5,Household,Disposables,11,111,111.1,P111,Left,17,5
PROD00531,890100531,Tata Coffee Premix 500g,148,0.5,Beverages,Coffee,11,111,111.1,P111,Left,24,5
PROD00532,890100532,Pantene Conditioner 500ml,28,0.5,Personal Care,Hair,11,111,111.1,P111,Left,31,5
PROD00533,890100533,Sunfeast Nice 500g,54,0.5,Snacks,Biscuits,11,111,111.1,P111,Left,58,5
PROD00534,890100534,Pillsbury Croissant 500g,455,0.5,Bakery,Cakes,11,111,111.1,P111,Left,71,5
PROD00535,890100535,Raw Pressery Mango Juice 500ml,215,0.5,Beverages,Juice,11,111,111.1,P111,Left,70,5
PROD00536,890100536,Epigamia Lassi 500ml,110,0.5,Dairy,Yogurt,11,111,111.1,P111,Left,51,5
PROD00537,890100537,Sensodyne Mouthwash 500g,109,0.5,Personal Care,Oral,11,111,111.1,P111,Left,30,5
PROD00538,890100538,Fiama Body Wash 500g,433,0.5,Personal Care,Soap,11,111,111.1,P111,Left,72,5
PROD00539,890100539,Mother Dairy Greek Yogurt 500ml,279,0.5,Dairy,Yogurt,11,111,111.1,P111,Left,11,5
PROD00540,890100540,Happilo Mixed Nuts 500g,381,0.5,Snacks,Nuts,11,111,111.1,P111,Left,90,5
PROD00541,890100541,Britannia Croissant 500g,343,0.5,Bakery,Cakes,11,111,111.1,P111,Left,19,5
PROD00542,890100542,Modern Whole Wheat 500g,74,0.5,Bakery,Bread,11,111,111.1,P111,Left,24,5
