Product_ID,Barcode,Product_Name,Price,Weight_kg,Category,Sub_Category,Aisle_No,Partition_No,Shelf_No,Position_Tag,Side,Stock_Quantity,Reorder_Level
PROD00365,8901000365,Huggies Wonder Pants M 30 Pcs,699,0.82,Baby Care,Diapers,1,101,101.1,P101,Left,50,5
PROD00366,8901000366,Pampers Active Baby Dry L 32 Pcs,749,0.9,Baby Care,Diapers,1,101,101.1,P101,Left,50,5
PROD00364,8901000364,Pampers Active Baby Dry M 34 Pcs,699,0.85,Baby Care,Diapers,1,101,101.1,P101,Left,50,5
PROD00370,8901000370,Cerelac Stage 1 Wheat 300g,250,0.3,Baby Care,Food,1,101,101.1,P101,Left,50,5
PROD00371,8901000371,Nestle NanPro 1 Infant Formula 400g,575,0.4,Baby Care,Food,1,101,101.2,P101,Left,50,5
PROD00369,8901000369,Himalaya Baby Cream 200g,210,0.2,Baby Care,Skin,1,101,101.2,P101,Left,50,5
PROD00367,8901000367,Johnson's Baby Lotion 200ml,185,0.2,Baby Care,Skin,1,101,101.2,P101,Left,50,5
PROD00368,8901000368,Johnson's Baby Shampoo 200ml,165,0.2,Baby Care,Skin,1,101,101.2,P101,Left,50,5
PROD00372,8901000372,Johnson's Baby Wipes 80pcs,230,0.24,Baby Care,Wipes,1,101,101.3,P101,Left,50,5
PROD00260,8901000260,Bonn Multigrain Bread 400g,50,0.4,Bakery,Bread,1,101,101.3,P101,Left,50,5
PROD00255,8901000255,Britannia 100% Whole Wheat Bread 400g,45,0.4,Bakery,Bread,1,101,101.3,P101,Left,50,5
PROD00259,8901000259,Britannia Multigrain Bread 400g,52,0.4,Bakery,Bread,1,101,101.3,P101,Left,50,5
PROD00257,8901000257,English Oven White Sandwich Bread 400g,40,0.4,Bakery,Bread,1,101,101.4,P101,Left,50,5
PROD00258,8901000258,Harvest Gold White Bread 400g,38,0.4,Bakery,Bread,1,101,101.4,P101,Left,50,5
PROD00256,8901000256,Modern Brown Bread 400g,42,0.4,Bakery,Bread,1,101,101.4,P101,Left,50,5
PROD00263,8901000263,Britannia Maska Bun 55g,15,0.055,Bakery,Buns,1,101,101.4,P101,Left,50,5
PROD00261,8901000261,English Oven Burger Buns 6pcs,55,0.24,Bakery,Buns,1,101,101.5,P101,Left,50,5
PROD00262,8901000262,Harvest Gold Pavbhaji Pav 200g,35,0.2,Bakery,Buns,1,101,101.5,P101,Left,50,5
PROD00264,8901000264,Britannia Chocolate Cake 60g,25,0.06,Bakery,Cakes,1,101,101.5,P101,Left,50,5
PROD00265,8901000265,Britannia Fruit Cake 400g,130,0.4,Bakery,Cakes,1,101,101.5,P101,Left,50,5
PROD00266,8901000266,Elite Swiss Roll Cocoa 30g,10,0.03,Bakery,Cakes,1,101,101.6,P101,Left,50,5
PROD00267,8901000267,Monginis Dark Truffle Cake 500g,350,0.5,Bakery,Cakes,1,101,101.6,P101,Left,50,5
PROD00268,8901000268,Theobroma Brownies 145g,210,0.145,Bakery,Cakes,1,101,101.6,P101,Left,50,5
PROD00269,8901000269,Britannia Toast 200g,50,0.2,Bakery,Rusk,1,101,101.6,P101,Left,50,5
PROD00270,8901000270,Modern Rusk 180g,45,0.18,Bakery,Rusk,1,101,101.7,P101,Left,50,5
PROD00104,8901000104,Bru Gold Instant Coffee 100g,330,0.1,Beverages,Coffee,1,101,101.7,P101,Left,50,5
PROD00768,8901000768,Bru Gold Instant Coffee 1L,561,1.0,Beverages,Coffee,1,101,101.7,P101,Left,50,5
PROD00766,8901000766,Bru Gold Instant Coffee 250ml,182,0.25,Beverages,Coffee,1,101,101.7,P101,Left,50,5
PROD00769,8901000769,Bru Gold Instant Coffee 2L,594,2.0,Beverages,Coffee,1,102,102.1,P102,Left,50,5
PROD00767,8901000767,Bru Gold Instant Coffee 500ml,297,0.5,Beverages,Coffee,1,102,102.1,P102,Left,50,5
PROD00102,8901000102,Bru Original Instant Coffee 100g,255,0.1,Beverages,Coffee,1,102,102.1,P102,Left,50,5
PROD00760,8901000760,Bru Original Instant Coffee 1L,434,1.0,Beverages,Coffee,1,102,102.1,P102,Left,50,5
PROD00758,8901000758,Bru Original Instant Coffee 250ml,140,0.25,Beverages,Coffee,1,102,102.2,P102,Left,50,5
PROD00761,8901000761,Bru Original Instant Coffee 2L,459,2.0,Beverages,Coffee,1,102,102.2,P102,Left,50,5
PROD00759,8901000759,Bru Original Instant Coffee 500ml,230,0.5,Beverages,Coffee,1,102,102.2,P102,Left,50,5
PROD00105,8901000105,Continental Malabar Instant Coffee 100g,290,0.1,Beverages,Coffee,1,102,102.2,P102,Left,50,5
PROD00772,8901000772,Continental Malabar Instant Coffee 1L,493,1.0,Beverages,Coffee,1,102,102.3,P102,Left,50,5
PROD00770,8901000770,Continental Malabar Instant Coffee 250ml,160,0.25,Beverages,Coffee,1,102,102.3,P102,Left,50,5
PROD00773,8901000773,Continental Malabar Instant Coffee 2L,522,2.0,Beverages,Coffee,1,102,102.3,P102,Left,50,5
PROD00771,8901000771,Continental Malabar Instant Coffee 500ml,261,0.5,Beverages,Coffee,1,102,102.3,P102,Left,50,5
PROD00108,8901000108,Davidoff Rich Aroma Instant 100g,410,0.1,Beverages,Coffee,1,102,102.4,P102,Left,50,5
PROD00784,8901000784,Davidoff Rich Aroma Instant 1L,697,1.0,Beverages,Coffee,1,102,102.4,P102,Left,50,5
PROD00782,8901000782,Davidoff Rich Aroma Instant 250ml,226,0.25,Beverages,Coffee,1,102,102.4,P102,Left,50,5
PROD00785,8901000785,Davidoff Rich Aroma Instant 2L,738,2.0,Beverages,Coffee,1,102,102.4,P102,Left,50,5
PROD00783,8901000783,Davidoff Rich Aroma Instant 500ml,369,0.5,Beverages,Coffee,1,102,102.5,P102,Left,50,5
PROD00780,8901000780,Filter Coffee Kaapi 1L,298,1.0,Beverages,Coffee,1,102,102.5,P102,Left,50,5
PROD00107,8901000107,Filter Coffee Kaapi 200g,175,0.2,Beverages,Coffee,1,102,102.5,P102,Left,50,5
PROD00778,8901000778,Filter Coffee Kaapi 250ml,96,0.25,Beverages,Coffee,1,102,102.5,P102,Left,50,5
PROD00781,8901000781,Filter Coffee Kaapi 2L,315,2.0,Beverages,Coffee,1,102,102.6,P102,Left,50,5
PROD00779,8901000779,Filter Coffee Kaapi 500ml,158,0.5,Beverages,Coffee,1,102,102.6,P102,Left,50,5
PROD00764,8901000764,Nescafe Classic 1L,901,1.0,Beverages,Coffee,1,102,102.6,P102,Left,50,5
PROD00103,8901000103,Nescafe Classic 200g,530,0.2,Beverages,Coffee,1,102,102.6,P102,Left,50,5
PROD00762,8901000762,Nescafe Classic 250ml,292,0.25,Beverages,Coffee,1,102,102.7,P102,Left,50,5
PROD00765,8901000765,Nescafe Classic 2L,954,2.0,Beverages,Coffee,1,102,102.7,P102,Left,50,5
PROD00763,8901000763,Nescafe Classic 500ml,477,0.5,Beverages,Coffee,1,102,102.7,P102,Left,50,5
PROD00101,8901000101,Nescafe Classic Instant Coffee 100g,290,0.1,Beverages,Coffee,1,102,102.7,P102,Left,50,5
PROD00756,8901000756,Nescafe Classic Instant Coffee 1L,493,1.0,Beverages,Coffee,1,103,103.1,P103,Left,50,5
PROD00754,8901000754,Nescafe Classic Instant Coffee 250ml,160,0.25,Beverages,Coffee,1,103,103.1,P103,Left,50,5
PROD00757,8901000757,Nescafe Classic Instant Coffee 2L,522,2.0,Beverages,Coffee,1,103,103.1,P103,Left,50,5
PROD00755,8901000755,Nescafe Classic Instant Coffee 500ml,261,0.5,Beverages,Coffee,1,103,103.1,P103,Left,50,5
PROD00109,8901000109,Nescafe Gold Blend 100g,550,0.1,Beverages,Coffee,1,103,103.2,P103,Left,50,5
PROD00788,8901000788,Nescafe Gold Blend 1L,935,1.0,Beverages,Coffee,1,103,103.2,P103,Left,50,5
PROD00786,8901000786,Nescafe Gold Blend 250ml,302,0.25,Beverages,Coffee,1,103,103.2,P103,Left,50,5
PROD00789,8901000789,Nescafe Gold Blend 2L,990,2.0,Beverages,Coffee,1,103,103.2,P103,Left,50,5
PROD00787,8901000787,Nescafe Gold Blend 500ml,495,0.5,Beverages,Coffee,1,103,103.3,P103,Left,50,5
